campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_low,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.1,0.0,0.3,-0.2317622025920365,-0.35747745072286213,-0.11333877803498268
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.6,0.3,0.9,0.0,0.0,0.0,-0.23808266976813347,-0.3730717112831832,-0.11674594933772729
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_high,,hybrid_rule_v3_fast_progress_static_escape,10,0.8,0.5,1.0,0.0,0.0,0.0,-0.2199480330004171,-0.32810352799237,-0.09741549477742749
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_low,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.03151518700793181,-0.14018245182419015,0.06733587949851663
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.10440825430692917,-0.23113113745182254,0.02786950901719262
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_low,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.6,1.0,0.1,0.0,0.4,-0.1561204130115558,-0.26481368147022283,-0.039766510962447675
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.6,1.0,0.1,0.0,0.4,-0.30090713829327387,-0.5044927151861582,-0.13506447607357652
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_low,,hybrid_rule_v3_fast_progress_static_escape,10,0.7,0.4,1.0,0.0,0.0,0.0,-0.21381016526587052,-0.35561963751278486,-0.08301360328466852
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.8,0.6,1.0,0.2,0.0,0.4,-0.38080160276338615,-0.502581874760111,-0.2649968397690059
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_low,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.1,0.0,0.3,-0.13669432883203964,-0.24804267054401874,-0.022360220850388243
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.13922550822654883,-0.2533233143872067,-0.02838567543186085
issue_1454_s10_h500_candidates_2026-05-23,classic_realworld_double_bottleneck_high,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.14056885765682053,-0.20214826553314977,-0.068770024677979
issue_1454_s10_h500_candidates_2026-05-23,classic_station_platform_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.0,0.0,0.0,0.4,0.1,0.7,-0.4600716427232142,-0.5474519523520054,-0.375404438941559
