"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
87,"ok",3,"primary_route;masked_cell_83_103;masked_cell_84_111","primary_route",8.87270292019089,7.614213675833719,"masked_cell_83_103",7.614213675833719,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
88,"ok",3,"primary_route;masked_cell_83_103;masked_cell_84_111","primary_route",8.870578308304998,7.69705638954279,"masked_cell_83_103",7.69705638954279,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
89,"ok",3,"primary_route;masked_cell_83_103;masked_cell_84_111","primary_route",8.868375697632304,7.69705638954279,"masked_cell_83_103",7.69705638954279,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
90,"ok",2,"primary_route;masked_cell_84_103","primary_route",8.866093836995468,7.69705638954279,"masked_cell_84_103",7.69705638954279,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
91,"ok",3,"primary_route;masked_cell_84_103;masked_cell_85_111","primary_route",8.863731370677382,7.69705638954279,"masked_cell_84_103",7.69705638954279,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
92,"insufficient_hypotheses",1,"primary_route","primary_route",8.888438364006623,7.497056386562558,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
93,"insufficient_hypotheses",1,"primary_route","primary_route",8.885910954958774,7.57989910027163,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
94,"insufficient_hypotheses",1,"primary_route","primary_route",8.883299074773378,7.57989910027163,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
95,"insufficient_hypotheses",1,"primary_route","primary_route",8.880601288727032,7.57989910027163,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
96,"insufficient_hypotheses",1,"primary_route","primary_route",8.877816323086776,7.57989910027163,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
97,"insufficient_hypotheses",1,"primary_route","","",7.379899097291398,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
98,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
99,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
100,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
101,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
102,"insufficient_hypotheses",1,"primary_route","","",6.779899088350701,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
103,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
104,"insufficient_hypotheses",1,"primary_route","","",6.579899085370469,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
105,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
106,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
107,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
108,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
