planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
social_force,social_force,blind_corner,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.8851
social_force,social_force,bottleneck,40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.6545,0.0000,,'-0.9711
social_force,social_force,circular_crossing,10,0.0000,0.1000,0.1000,0.0000,0.1000,0.3000,1.0000,1.0000,0.0837,,'-1.0453
social_force,social_force,cross_trap,30,0.0000,0.2333,0.2333,0.0000,0.2333,1.5667,1.0000,1.0000,0.0979,,'-0.4764
social_force,social_force,crossing,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0082,,'-0.8848
social_force,social_force,crowd_navigation,10,0.0000,0.4000,0.4000,0.0000,0.4000,10.3000,1.0000,1.0000,0.1144,,'-0.3663
social_force,social_force,doorway,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.9667,1.0000,1.0000,0.0082,,'-1.1279
social_force,social_force,down_path,10,0.0000,0.0000,0.0000,0.0000,0.0000,13.6000,1.0000,0.6254,0.0030,,'-1.2051
social_force,social_force,entering_elevator,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9145,0.0000,,'-1.1281
social_force,social_force,entering_room,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-1.1065
social_force,social_force,exiting_elevator,10,0.0000,1.0000,0.8000,0.2000,1.0000,2.7000,1.0000,1.0000,0.0065,,'-1.2007
social_force,social_force,exiting_room,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5249,0.0000,,'-0.9952
social_force,social_force,following_human,10,0.0000,0.9000,0.9000,0.0000,0.9000,10.0000,1.0000,0.9115,0.3126,,'-1.1664
