episode_id,scenario_id,planner_key,kinematics,algo,seed,repeat_index,success,collision,near_miss,time_to_goal,snqi
francis2023_following_human--113--05b5fdc1030222dc,francis2023_following_human,sacadrl,differential_drive,sacadrl,113,0,0.0,1.0,0.0,1.0,-0.607247512718787
francis2023_following_human--111--f8d22448a35e5516,francis2023_following_human,social_force,differential_drive,social_force,111,0,0.0,1.0,43.0,1.0,-1.3162642096376713
francis2023_following_human--112--a00ad33bdd9aab0a,francis2023_following_human,social_force,differential_drive,social_force,112,0,0.0,1.0,42.0,1.0,-1.3109512987879837
francis2023_following_human--113--dc0d0ee9d0a3331e,francis2023_following_human,social_force,differential_drive,social_force,113,0,0.0,1.0,21.0,1.0,-1.315472214785914
francis2023_following_human--111--2548b1fb8e87c7fb,francis2023_following_human,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,0.0,1.0,-0.251061460967207
francis2023_following_human--112--2a05f09465561d42,francis2023_following_human,socnav_sampling,differential_drive,socnav_sampling,112,0,0.0,1.0,0.0,1.0,-0.23457251230590156
francis2023_following_human--113--d772eadd60d8fc88,francis2023_following_human,socnav_sampling,differential_drive,socnav_sampling,113,0,0.0,1.0,0.0,1.0,-0.2069651300495039
francis2023_frontal_approach--111--e8a0fdf8fccf279f,francis2023_frontal_approach,goal,differential_drive,goal,111,0,0.0,1.0,5.0,1.0,-0.27314125056529365
francis2023_frontal_approach--112--ce7de03f835544f1,francis2023_frontal_approach,goal,differential_drive,goal,112,0,0.0,1.0,5.0,1.0,-0.27314125056529365
francis2023_frontal_approach--113--d076b7083faec1bf,francis2023_frontal_approach,goal,differential_drive,goal,113,0,0.0,1.0,5.0,1.0,-0.27314125056529365
francis2023_frontal_approach--111--453a78e830f506c1,francis2023_frontal_approach,orca,differential_drive,orca,111,0,1.0,0.0,9.0,0.2916666666666667,0.030287201563540537
francis2023_frontal_approach--112--e31491a0d7a3acf4,francis2023_frontal_approach,orca,differential_drive,orca,112,0,1.0,0.0,9.0,0.29333333333333333,0.02188708738814551
francis2023_frontal_approach--113--8e38f4a56fc59a1f,francis2023_frontal_approach,orca,differential_drive,orca,113,0,1.0,0.0,9.0,0.29333333333333333,0.018747314958323325
francis2023_frontal_approach--111--6de367f4d83b1ef4,francis2023_frontal_approach,ppo,differential_drive,ppo,111,0,1.0,0.0,5.0,0.285,0.07430384216587771
francis2023_frontal_approach--112--6903a08fc8c8dacf,francis2023_frontal_approach,ppo,differential_drive,ppo,112,0,1.0,0.0,5.0,0.2916666666666667,0.06206885037693027
francis2023_frontal_approach--113--bd081c701ad3f4fc,francis2023_frontal_approach,ppo,differential_drive,ppo,113,0,1.0,0.0,5.0,0.29,0.054028577155570065
francis2023_frontal_approach--111--01e063d27678c4e9,francis2023_frontal_approach,prediction_planner,differential_drive,prediction_planner,111,0,0.0,1.0,5.0,1.0,-0.27314125056529365
francis2023_frontal_approach--112--2fa05aa806406365,francis2023_frontal_approach,prediction_planner,differential_drive,prediction_planner,112,0,0.0,1.0,5.0,1.0,-0.27314125056529365
francis2023_frontal_approach--113--04ee34bc3d3890ad,francis2023_frontal_approach,prediction_planner,differential_drive,prediction_planner,113,0,0.0,1.0,6.0,1.0,-0.2878202173901243
francis2023_frontal_approach--111--5e913bb59b0828c5,francis2023_frontal_approach,sacadrl,differential_drive,sacadrl,111,0,0.0,1.0,0.0,1.0,-0.6633730470862019
francis2023_frontal_approach--112--ae06e8e6135b6e45,francis2023_frontal_approach,sacadrl,differential_drive,sacadrl,112,0,0.0,1.0,0.0,1.0,-0.6817214846002958
francis2023_frontal_approach--113--b8c9b9384a29f9d8,francis2023_frontal_approach,sacadrl,differential_drive,sacadrl,113,0,0.0,1.0,0.0,1.0,-0.6776220661116046
francis2023_frontal_approach--111--a42fd85e512d534e,francis2023_frontal_approach,social_force,differential_drive,social_force,111,0,0.0,1.0,4.0,1.0,-0.9526357777545043
francis2023_frontal_approach--112--e348094c06f0a4cc,francis2023_frontal_approach,social_force,differential_drive,social_force,112,0,0.0,1.0,11.0,1.0,-1.0606996132154807
francis2023_frontal_approach--113--7abfa24b37cefd9c,francis2023_frontal_approach,social_force,differential_drive,social_force,113,0,0.0,1.0,7.0,1.0,-0.9903852599854379
francis2023_frontal_approach--111--7210c8abf806062b,francis2023_frontal_approach,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,2.0,1.0,-0.23056638755127276
francis2023_frontal_approach--112--07cadff5d72b5e0b,francis2023_frontal_approach,socnav_sampling,differential_drive,socnav_sampling,112,0,0.0,1.0,2.0,1.0,-0.22910435009080163
francis2023_frontal_approach--113--d6747f573fd45842,francis2023_frontal_approach,socnav_sampling,differential_drive,socnav_sampling,113,0,0.0,1.0,2.0,1.0,-0.23054299495190522
francis2023_intersection_no_gesture--111--48c3cf7afc5bc5d5,francis2023_intersection_no_gesture,goal,differential_drive,goal,111,0,1.0,0.0,0.0,0.38333333333333336,0.15407591178605878
francis2023_intersection_no_gesture--112--3c5d9b79eb9fa156,francis2023_intersection_no_gesture,goal,differential_drive,goal,112,0,1.0,0.0,0.0,0.38666666666666666,0.15375954181485646
francis2023_intersection_no_gesture--113--6ed8c4b03f1cd233,francis2023_intersection_no_gesture,goal,differential_drive,goal,113,0,1.0,0.0,0.0,0.3883333333333333,0.1536013568292553
francis2023_intersection_no_gesture--111--3488ef27fb9e8cbb,francis2023_intersection_no_gesture,orca,differential_drive,orca,111,0,1.0,0.0,0.0,0.20166666666666666,0.17131807521658607
francis2023_intersection_no_gesture--112--671cdf87bbdb1839,francis2023_intersection_no_gesture,orca,differential_drive,orca,112,0,1.0,0.0,0.0,0.20333333333333334,0.1711598902309849
francis2023_intersection_no_gesture--113--900069dc6e38e0c2,francis2023_intersection_no_gesture,orca,differential_drive,orca,113,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_no_gesture--111--887f1832d5147700,francis2023_intersection_no_gesture,ppo,differential_drive,ppo,111,0,1.0,0.0,0.0,0.20333333333333334,0.07202996077443838
francis2023_intersection_no_gesture--112--27db72a84c2092af,francis2023_intersection_no_gesture,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.205,0.07037977743979824
francis2023_intersection_no_gesture--113--0fe06c4e0620c3ce,francis2023_intersection_no_gesture,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.205,0.0679360890172034
francis2023_intersection_no_gesture--111--62c550b76cc80d2e,francis2023_intersection_no_gesture,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,0.0,0.245,0.16720526559095572
francis2023_intersection_no_gesture--112--4f07b3e091c273ed,francis2023_intersection_no_gesture,prediction_planner,differential_drive,prediction_planner,112,0,1.0,0.0,0.0,0.24833333333333332,0.16688889561975337
francis2023_intersection_no_gesture--113--8ed35633bf64dee7,francis2023_intersection_no_gesture,prediction_planner,differential_drive,prediction_planner,113,0,1.0,0.0,0.0,0.24833333333333332,0.16688889561975337
francis2023_intersection_no_gesture--111--26cbd47befa881e3,francis2023_intersection_no_gesture,sacadrl,differential_drive,sacadrl,111,0,1.0,0.0,0.0,0.385,0.054985351050006584
francis2023_intersection_no_gesture--112--80cf4b1aebf30024,francis2023_intersection_no_gesture,sacadrl,differential_drive,sacadrl,112,0,1.0,0.0,0.0,0.38666666666666666,0.023773406601246744
francis2023_intersection_no_gesture--113--e6d714927618b21e,francis2023_intersection_no_gesture,sacadrl,differential_drive,sacadrl,113,0,1.0,0.0,0.0,0.39,0.038514708980695686
francis2023_intersection_no_gesture--111--900a5259f142e0d8,francis2023_intersection_no_gesture,social_force,differential_drive,social_force,111,0,0.0,1.0,0.0,1.0,-0.9184362132346786
francis2023_intersection_no_gesture--112--577a72d453fb1943,francis2023_intersection_no_gesture,social_force,differential_drive,social_force,112,0,0.0,1.0,0.0,1.0,-0.8795212987611227
francis2023_intersection_no_gesture--113--9a7cb24fe3054a59,francis2023_intersection_no_gesture,social_force,differential_drive,social_force,113,0,0.0,1.0,0.0,1.0,-0.7997028078593967
francis2023_intersection_no_gesture--111--902d05eda2a86bed,francis2023_intersection_no_gesture,socnav_sampling,differential_drive,socnav_sampling,111,0,1.0,0.0,0.0,0.20166666666666666,0.17131807521658607
francis2023_intersection_no_gesture--112--3b43d14d787fecac,francis2023_intersection_no_gesture,socnav_sampling,differential_drive,socnav_sampling,112,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_no_gesture--113--9a5868f5dcdd82ce,francis2023_intersection_no_gesture,socnav_sampling,differential_drive,socnav_sampling,113,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_proceed--111--806139e4e62665d0,francis2023_intersection_proceed,goal,differential_drive,goal,111,0,1.0,0.0,0.0,0.38333333333333336,0.15407591178605878
francis2023_intersection_proceed--112--bb8f88ee4423fbdf,francis2023_intersection_proceed,goal,differential_drive,goal,112,0,1.0,0.0,0.0,0.38666666666666666,0.15375954181485646
francis2023_intersection_proceed--113--d85f3d7f1c34c8f4,francis2023_intersection_proceed,goal,differential_drive,goal,113,0,1.0,0.0,0.0,0.3883333333333333,0.1536013568292553
francis2023_intersection_proceed--111--d0b31b01454b661b,francis2023_intersection_proceed,orca,differential_drive,orca,111,0,1.0,0.0,0.0,0.20166666666666666,0.17131807521658607
francis2023_intersection_proceed--112--bfe59d2a7b7f182f,francis2023_intersection_proceed,orca,differential_drive,orca,112,0,1.0,0.0,0.0,0.20333333333333334,0.1711598902309849
francis2023_intersection_proceed--113--78d958fffcb6c943,francis2023_intersection_proceed,orca,differential_drive,orca,113,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_proceed--111--bbf8d7c9b9f12b4a,francis2023_intersection_proceed,ppo,differential_drive,ppo,111,0,1.0,0.0,0.0,0.20333333333333334,0.07407884278142221
francis2023_intersection_proceed--112--4c49d6660fe9b491,francis2023_intersection_proceed,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.205,0.07063897010539544
francis2023_intersection_proceed--113--c58dcf32a8fbd4f1,francis2023_intersection_proceed,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.205,0.06707095948537989
francis2023_intersection_proceed--111--747ab0ef945208bf,francis2023_intersection_proceed,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,0.0,0.245,0.16720526559095572
francis2023_intersection_proceed--112--f16b299edfc3db01,francis2023_intersection_proceed,prediction_planner,differential_drive,prediction_planner,112,0,1.0,0.0,0.0,0.24833333333333332,0.16688889561975337
francis2023_intersection_proceed--113--9b1ea31124e75b6d,francis2023_intersection_proceed,prediction_planner,differential_drive,prediction_planner,113,0,1.0,0.0,0.0,0.24833333333333332,0.16688889561975337
francis2023_intersection_proceed--111--10fc7a855c008fda,francis2023_intersection_proceed,sacadrl,differential_drive,sacadrl,111,0,1.0,0.0,0.0,0.38666666666666666,0.04164849903474445
francis2023_intersection_proceed--112--b2060dfab7723596,francis2023_intersection_proceed,sacadrl,differential_drive,sacadrl,112,0,1.0,0.0,0.0,0.38666666666666666,0.022539342870743773
francis2023_intersection_proceed--113--5780805e5c0cc76d,francis2023_intersection_proceed,sacadrl,differential_drive,sacadrl,113,0,1.0,0.0,0.0,0.39,0.031809390922999045
francis2023_intersection_proceed--111--bdf66cbc9834ee00,francis2023_intersection_proceed,social_force,differential_drive,social_force,111,0,0.0,1.0,0.0,1.0,-0.9184362132346786
francis2023_intersection_proceed--112--feef23902b7982d0,francis2023_intersection_proceed,social_force,differential_drive,social_force,112,0,0.0,1.0,0.0,1.0,-0.8795212987611227
francis2023_intersection_proceed--113--c906550e096a717a,francis2023_intersection_proceed,social_force,differential_drive,social_force,113,0,0.0,1.0,0.0,1.0,-0.7997028078593967
francis2023_intersection_proceed--111--f7f6fe618a6491bd,francis2023_intersection_proceed,socnav_sampling,differential_drive,socnav_sampling,111,0,1.0,0.0,0.0,0.20166666666666666,0.17131807521658607
francis2023_intersection_proceed--112--a95ceb28640b2787,francis2023_intersection_proceed,socnav_sampling,differential_drive,socnav_sampling,112,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_proceed--113--7bc7440467352837,francis2023_intersection_proceed,socnav_sampling,differential_drive,socnav_sampling,113,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_wait--111--2338662ad489d646,francis2023_intersection_wait,goal,differential_drive,goal,111,0,1.0,0.0,0.0,0.38333333333333336,0.15407591178605878
francis2023_intersection_wait--112--c21bbb8e24b77fc1,francis2023_intersection_wait,goal,differential_drive,goal,112,0,1.0,0.0,0.0,0.38666666666666666,0.15375954181485646
francis2023_intersection_wait--113--c101f03e855154db,francis2023_intersection_wait,goal,differential_drive,goal,113,0,1.0,0.0,0.0,0.3883333333333333,0.1536013568292553
francis2023_intersection_wait--111--7f1860eaf8bf8d8b,francis2023_intersection_wait,orca,differential_drive,orca,111,0,1.0,0.0,0.0,0.20166666666666666,0.17131807521658607
francis2023_intersection_wait--112--523cfb0bd8f00dae,francis2023_intersection_wait,orca,differential_drive,orca,112,0,1.0,0.0,0.0,0.20333333333333334,0.1711598902309849
francis2023_intersection_wait--113--dce40b35190e2383,francis2023_intersection_wait,orca,differential_drive,orca,113,0,1.0,0.0,0.0,0.205,0.17100170524538374
francis2023_intersection_wait--111--44a51b9138b2bad7,francis2023_intersection_wait,ppo,differential_drive,ppo,111,0,1.0,0.0,0.0,0.20333333333333334,0.07407884278142221
francis2023_intersection_wait--112--ae7477c621c03db2,francis2023_intersection_wait,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.205,0.07063897010539544
francis2023_intersection_wait--113--bf418ad4f824621d,francis2023_intersection_wait,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.205,0.06707095948537989
francis2023_intersection_wait--111--07a1d14de770967c,francis2023_intersection_wait,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,0.0,0.245,0.16720526559095572
