planner_key,algo,scenario_family,scenario_id,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
ppo,ppo,intersection_proceed,francis2023_intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
ppo,ppo,intersection_wait,francis2023_intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
ppo,ppo,join_group,francis2023_join_group,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.1228,1.0000,0.0136,,'-0.0278
ppo,ppo,leading_human,francis2023_leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1546
ppo,ppo,leave_group,francis2023_leave_group,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.1228,1.0000,0.0284,,'-0.2158
ppo,ppo,narrow_doorway,francis2023_narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2159
ppo,ppo,narrow_hallway,francis2023_narrow_hallway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.0214,,'-0.3535
ppo,ppo,parallel_traffic,francis2023_parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2911,1.0000,0.0472,,'-0.0785
ppo,ppo,pedestrian_obstruction,francis2023_pedestrian_obstruction,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2889,1.0000,0.0000,,0.1123
ppo,ppo,pedestrian_overtaking,francis2023_pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2894,1.0000,0.0324,,0.1327
ppo,ppo,perpendicular_traffic,francis2023_perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.6667,0.2139,1.0000,0.0059,,'-0.0218
