planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
sacadrl,sacadrl,crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0826,,'-0.1748
sacadrl,sacadrl,doorway,9,0.0000,1.0000,0.0000,0.0000,0.0000,3.8889,1.0000,1.0000,0.0137,,'-0.2783
sacadrl,sacadrl,down_path,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.4862
sacadrl,sacadrl,entering_elevator,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1000
sacadrl,sacadrl,entering_room,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1037
sacadrl,sacadrl,exiting_elevator,3,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,1.0000,1.0000,0.0000,,'-0.4572
sacadrl,sacadrl,exiting_room,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0966
sacadrl,sacadrl,following_human,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0233,,'-0.5578
sacadrl,sacadrl,frontal_approach,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.6572
sacadrl,sacadrl,group_crossing,9,0.0000,0.1111,0.0000,0.0000,0.0000,7.5556,1.0000,1.0000,0.0196,,'-0.2325
sacadrl,sacadrl,head_on_corridor,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1.0000,1.0000,0.0221,,'-0.3995
sacadrl,sacadrl,intersection_no_gesture,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1049
sacadrl,sacadrl,intersection_proceed,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1049
sacadrl,sacadrl,intersection_wait,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1049
sacadrl,sacadrl,join_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.3333,1.0000,1.0000,0.0155,,'-0.2059
sacadrl,sacadrl,leading_human,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0194,,'-0.3579
sacadrl,sacadrl,leave_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,18.6667,1.0000,1.0000,0.0388,,'-0.3950
sacadrl,sacadrl,merging,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0506,,'-0.1460
sacadrl,sacadrl,narrow_doorway,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1615
sacadrl,sacadrl,narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-0.1306
sacadrl,sacadrl,overtaking,6,0.0000,0.0000,0.0000,0.0000,0.0000,3.8333,1.0000,1.0000,0.0375,,'-0.4524
sacadrl,sacadrl,parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0675,,'-0.3570
sacadrl,sacadrl,pedestrian_obstruction,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.7168
sacadrl,sacadrl,pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0633,,'-0.1519
sacadrl,sacadrl,perpendicular_traffic,3,0.0000,0.3333,0.0000,0.0000,0.0000,5.6667,1.0000,1.0000,0.0081,,'-0.2142
sacadrl,sacadrl,robot_crowding,3,0.0000,0.6667,0.0000,0.0000,0.0000,14.0000,1.0000,1.0000,0.1878,,'-0.4750
sacadrl,sacadrl,robot_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.4437
sacadrl,sacadrl,station_platform,3,0.0000,0.3333,0.0000,0.0000,0.0000,11.6667,1.0000,1.0000,0.0135,,'-0.2359
