# AI-GENERATED NEEDS-REVIEW
run_label,job_id,scenario_matrix_hash,planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
confirm,13268,c10df617a87c,orca,orca,t_intersection,classic_t_intersection_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2700,0.9522,0.0318,,'-0.0043
confirm,13268,c10df617a87c,orca,orca,t_intersection,classic_t_intersection_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.6667,0.2639,0.9535,0.0358,,'-0.0357
confirm,13268,c10df617a87c,ppo,ppo,accompanying_peer,francis2023_accompanying_peer,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1389
confirm,13268,c10df617a87c,ppo,ppo,blind_corner,francis2023_blind_corner,3,0.3333,0.6667,0.0000,0.6667,0.6667,3.0000,0.7894,0.9963,0.0000,,'-0.2338
confirm,13268,c10df617a87c,ppo,ppo,bottleneck,classic_bottleneck_high,3,0.0000,1.0000,0.0000,1.0000,1.0000,10.0000,1.0000,1.0000,0.0000,,'-0.5869
confirm,13268,c10df617a87c,ppo,ppo,bottleneck,classic_bottleneck_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2006,1.0000,0.0000,,0.0509
confirm,13268,c10df617a87c,ppo,ppo,bottleneck,classic_bottleneck_medium,3,0.0000,1.0000,0.3333,0.6667,1.0000,6.0000,1.0000,1.0000,0.0000,,'-0.4595
confirm,13268,c10df617a87c,ppo,ppo,bottleneck,classic_realworld_double_bottleneck_high,3,0.0000,1.0000,0.3333,0.6667,1.0000,10.0000,1.0000,1.0000,0.0013,,'-0.6609
confirm,13268,c10df617a87c,ppo,ppo,circular_crossing,francis2023_circular_crossing,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4144,1.0000,0.2455,,'-0.0865
confirm,13268,c10df617a87c,ppo,ppo,cross_trap,classic_cross_trap_high,3,0.3333,0.6667,0.6667,0.0000,0.6667,4.6667,0.8156,0.7823,0.3896,,'-0.2772
confirm,13268,c10df617a87c,ppo,ppo,cross_trap,classic_cross_trap_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.3333,0.4344,0.7892,0.0073,,'-0.1347
confirm,13268,c10df617a87c,ppo,ppo,cross_trap,classic_cross_trap_medium,3,0.6667,0.3333,0.3333,0.0000,0.3333,12.6667,0.6228,0.7446,0.1703,,'-0.2539
confirm,13268,c10df617a87c,ppo,ppo,crossing,classic_urban_crossing_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2983,1.0000,0.0063,,0.1151
confirm,13268,c10df617a87c,ppo,ppo,crowd_navigation,francis2023_crowd_navigation,3,1.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2172,0.9854,0.0501,,'-0.2369
confirm,13268,c10df617a87c,ppo,ppo,doorway,classic_doorway_high,3,0.0000,1.0000,1.0000,0.0000,1.0000,11.3333,1.0000,1.0000,0.0123,,'-0.8443
confirm,13268,c10df617a87c,ppo,ppo,doorway,classic_doorway_low,3,0.3333,0.6667,0.6667,0.0000,0.6667,15.3333,0.7067,1.0000,0.0328,,'-0.8553
confirm,13268,c10df617a87c,ppo,ppo,doorway,classic_doorway_medium,3,0.3333,0.6667,0.3333,0.3333,0.6667,9.3333,0.7156,1.0000,0.0074,,'-0.6110
confirm,13268,c10df617a87c,ppo,ppo,down_path,francis2023_down_path,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2811,1.0000,0.0000,,0.1466
confirm,13268,c10df617a87c,ppo,ppo,entering_elevator,francis2023_entering_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1039,1.0000,0.0000,,0.1059
confirm,13268,c10df617a87c,ppo,ppo,entering_room,francis2023_entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.0953
confirm,13268,c10df617a87c,ppo,ppo,exiting_elevator,francis2023_exiting_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1356,0.8951,0.0000,,'-0.1416
confirm,13268,c10df617a87c,ppo,ppo,exiting_room,francis2023_exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1478,1.0000,0.0000,,0.0395
confirm,13268,c10df617a87c,ppo,ppo,following_human,francis2023_following_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2806,1.0000,0.0059,,0.1223
confirm,13268,c10df617a87c,ppo,ppo,frontal_approach,francis2023_frontal_approach,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2889,1.0000,0.0000,,0.0635
confirm,13268,c10df617a87c,ppo,ppo,group_crossing,classic_group_crossing_high,3,0.6667,0.3333,0.3333,0.0000,0.3333,13.6667,0.4561,1.0000,0.0374,,'-0.3874
confirm,13268,c10df617a87c,ppo,ppo,group_crossing,classic_group_crossing_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1806,1.0000,0.0245,,0.0356
confirm,13268,c10df617a87c,ppo,ppo,group_crossing,classic_group_crossing_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.1950,0.9972,0.0062,,'-0.0432
confirm,13268,c10df617a87c,ppo,ppo,head_on_corridor,classic_head_on_corridor_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.2767,1.0000,0.0189,,0.0321
confirm,13268,c10df617a87c,ppo,ppo,head_on_corridor,classic_head_on_corridor_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.2767,1.0000,0.0102,,0.0265
confirm,13268,c10df617a87c,ppo,ppo,intersection_no_gesture,francis2023_intersection_no_gesture,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0701
confirm,13268,c10df617a87c,ppo,ppo,intersection_proceed,francis2023_intersection_proceed,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
confirm,13268,c10df617a87c,ppo,ppo,intersection_wait,francis2023_intersection_wait,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
confirm,13268,c10df617a87c,ppo,ppo,join_group,francis2023_join_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.1228,1.0000,0.0136,,'-0.0278
confirm,13268,c10df617a87c,ppo,ppo,leading_human,francis2023_leading_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1546
confirm,13268,c10df617a87c,ppo,ppo,leave_group,francis2023_leave_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.1228,1.0000,0.0284,,'-0.2158
confirm,13268,c10df617a87c,ppo,ppo,merging,classic_merging_low,3,0.0000,1.0000,0.0000,1.0000,1.0000,2.3333,1.0000,0.5196,0.0075,,'-0.3763
confirm,13268,c10df617a87c,ppo,ppo,merging,classic_merging_medium,3,0.0000,1.0000,0.0000,1.0000,1.0000,2.0000,1.0000,0.7396,0.0157,,'-0.3753
confirm,13268,c10df617a87c,ppo,ppo,narrow_doorway,francis2023_narrow_doorway,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2159
confirm,13268,c10df617a87c,ppo,ppo,narrow_hallway,francis2023_narrow_hallway,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.0214,,'-0.3535
confirm,13268,c10df617a87c,ppo,ppo,overtaking,classic_overtaking_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3394,0.9421,0.0144,,'-0.0462
confirm,13268,c10df617a87c,ppo,ppo,overtaking,classic_overtaking_medium,3,1.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.3633,0.6799,0.0077,,'-0.1594
confirm,13268,c10df617a87c,ppo,ppo,parallel_traffic,francis2023_parallel_traffic,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2911,1.0000,0.0472,,'-0.0785
confirm,13268,c10df617a87c,ppo,ppo,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2889,1.0000,0.0000,,0.1123
confirm,13268,c10df617a87c,ppo,ppo,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2894,1.0000,0.0324,,0.1327
confirm,13268,c10df617a87c,ppo,ppo,perpendicular_traffic,francis2023_perpendicular_traffic,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.6667,0.2139,1.0000,0.0059,,'-0.0218
confirm,13268,c10df617a87c,ppo,ppo,robot_crowding,francis2023_robot_crowding,3,0.3333,0.6667,0.6667,0.0000,0.6667,3.0000,0.7261,0.7661,0.1356,,'-0.5310
