planner_key,algo,scenario_family,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
prediction_mpc_cbf,prediction_mpc,cross_trap,,,,,9,0.0000,1.0000,0.3333,0.6667,1.0000,30.3333,1.0000,1.0000,0.1902,,'-0.4433
prediction_mpc_cbf,prediction_mpc,crossing,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,46.6667,0.6656,1.0000,0.0037,,'-0.2224
prediction_mpc_cbf,prediction_mpc,crowd_navigation,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,74.6667,0.5050,1.0000,0.0260,,'-0.4645
prediction_mpc_cbf,prediction_mpc,doorway,,,,,9,0.0000,1.0000,0.0000,1.0000,1.0000,59.0000,1.0000,1.0000,0.0096,,'-0.6929
prediction_mpc_cbf,prediction_mpc,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5956,1.0000,0.0000,,0.1339
prediction_mpc_cbf,prediction_mpc,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2072,1.0000,0.0000,,0.1163
prediction_mpc_cbf,prediction_mpc,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3189,1.0000,0.0000,,0.1412
prediction_mpc_cbf,prediction_mpc,exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,63.0000,0.2411,1.0000,0.0000,,'-0.4729
prediction_mpc_cbf,prediction_mpc,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3056,1.0000,0.0000,,0.0902
prediction_mpc_cbf,prediction_mpc,following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6017,1.0000,0.0028,,0.1329
prediction_mpc_cbf,prediction_mpc,frontal_approach,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000,1.0000,1.0000,0.0000,,'-0.5669
prediction_mpc_cbf,prediction_mpc,group_crossing,,,,,9,1.0000,0.0000,0.0000,0.0000,0.0000,32.6667,0.4039,1.0000,0.0145,,'-0.1814
prediction_mpc_cbf,prediction_mpc,head_on_corridor,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,43.0000,0.6442,1.0000,0.0065,,'-0.2554
prediction_mpc_cbf,prediction_mpc,intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4306,1.0000,0.0000,,0.1442
prediction_mpc_cbf,prediction_mpc,intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4311,1.0000,0.0000,,0.1428
prediction_mpc_cbf,prediction_mpc,intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4311,1.0000,0.0000,,0.1428
prediction_mpc_cbf,prediction_mpc,join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,9.0000,1.0000,1.0000,0.0171,,'-0.3938
prediction_mpc_cbf,prediction_mpc,leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5956,1.0000,0.0028,,0.1334
prediction_mpc_cbf,prediction_mpc,leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,33.0000,1.0000,1.0000,0.0295,,'-0.7883
prediction_mpc_cbf,prediction_mpc,merging,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,4.5000,1.0000,1.0000,0.0076,,'-0.5986
prediction_mpc_cbf,prediction_mpc,narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2334
prediction_mpc_cbf,prediction_mpc,narrow_hallway,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,135.3333,0.8850,1.0000,0.0068,,'-0.6793
prediction_mpc_cbf,prediction_mpc,overtaking,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7336,0.9958,0.0054,,'-0.0588
prediction_mpc_cbf,prediction_mpc,parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,27.0000,0.6194,1.0000,0.0290,,'-0.0496
prediction_mpc_cbf,prediction_mpc,pedestrian_obstruction,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,65.6667,1.0000,1.0000,0.0092,,'-0.4173
prediction_mpc_cbf,prediction_mpc,pedestrian_overtaking,,,,,3,0.3333,0.0000,0.0000,0.0000,0.0000,46.3333,0.8856,1.0000,0.0184,,'-0.4386
prediction_mpc_cbf,prediction_mpc,perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,22.6667,0.4461,1.0000,0.0049,,0.0086
prediction_mpc_cbf,prediction_mpc,robot_crowding,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,176.3333,0.4489,1.0000,0.0506,,'-1.0200
prediction_mpc_cbf,prediction_mpc,robot_overtaking,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,64.6667,1.0000,1.0000,0.0392,,'-0.5907
prediction_mpc_cbf,prediction_mpc,station_platform,,,,,3,0.0000,0.3333,0.3333,0.0000,0.3333,70.3333,1.0000,0.9623,0.0152,,'-0.7669
