scenario_id,seed,classification,mean_success,mean_collision,planner_count
francis2023_entering_room,112,easy,1.0000,0.0000,4
francis2023_entering_room,113,easy,1.0000,0.0000,4
francis2023_entering_room,114,easy,1.0000,0.0000,4
francis2023_entering_room,115,easy,1.0000,0.0000,4
francis2023_entering_room,116,easy,1.0000,0.0000,4
francis2023_entering_room,117,easy,1.0000,0.0000,4
francis2023_entering_room,118,easy,1.0000,0.0000,4
francis2023_entering_room,119,easy,1.0000,0.0000,4
francis2023_entering_room,120,easy,1.0000,0.0000,4
francis2023_exiting_elevator,113,hard,0.2500,0.0000,4
francis2023_exiting_elevator,112,easy,0.7500,0.0000,4
francis2023_exiting_elevator,116,easy,0.7500,0.0000,4
francis2023_exiting_elevator,111,easy,1.0000,0.0000,4
francis2023_exiting_elevator,114,easy,1.0000,0.0000,4
francis2023_exiting_elevator,115,easy,1.0000,0.0000,4
francis2023_exiting_elevator,117,easy,1.0000,0.0000,4
francis2023_exiting_elevator,118,easy,1.0000,0.0000,4
francis2023_exiting_elevator,119,easy,1.0000,0.0000,4
francis2023_exiting_elevator,120,easy,1.0000,0.0000,4
francis2023_exiting_room,111,easy,1.0000,0.0000,4
francis2023_exiting_room,112,easy,1.0000,0.0000,4
francis2023_exiting_room,113,easy,1.0000,0.0000,4
francis2023_exiting_room,114,easy,1.0000,0.0000,4
francis2023_exiting_room,115,easy,1.0000,0.0000,4
francis2023_exiting_room,116,easy,1.0000,0.0000,4
francis2023_exiting_room,117,easy,1.0000,0.0000,4
francis2023_exiting_room,118,easy,1.0000,0.0000,4
francis2023_exiting_room,119,easy,1.0000,0.0000,4
francis2023_exiting_room,120,easy,1.0000,0.0000,4
francis2023_following_human,111,easy,1.0000,0.0000,4
francis2023_following_human,112,easy,1.0000,0.0000,4
francis2023_following_human,113,easy,1.0000,0.0000,4
francis2023_following_human,114,easy,1.0000,0.0000,4
francis2023_following_human,115,easy,1.0000,0.0000,4
francis2023_following_human,116,easy,1.0000,0.0000,4
francis2023_following_human,117,easy,1.0000,0.0000,4
francis2023_following_human,118,easy,1.0000,0.0000,4
francis2023_following_human,119,easy,1.0000,0.0000,4
francis2023_following_human,120,easy,1.0000,0.0000,4
francis2023_frontal_approach,111,easy,1.0000,0.0000,4
francis2023_frontal_approach,112,easy,1.0000,0.0000,4
francis2023_frontal_approach,113,easy,1.0000,0.0000,4
francis2023_frontal_approach,114,easy,1.0000,0.0000,4
francis2023_frontal_approach,115,easy,1.0000,0.0000,4
francis2023_frontal_approach,116,easy,1.0000,0.0000,4
francis2023_frontal_approach,117,easy,1.0000,0.0000,4
francis2023_frontal_approach,118,easy,1.0000,0.0000,4
francis2023_frontal_approach,119,easy,1.0000,0.0000,4
francis2023_frontal_approach,120,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,116,hard,0.0000,0.0000,4
